Daily average humidity [%]
Date	No. of days	Subbasin-ID.
14062000	166	63	56
15062000	167	64	61
16062000	168	63	59
17062000	169	65	60
18062000	170	66	62
19062000	171	65	60
20062000	172	64	57
21062000	173	58	54
22062000	174	61	64
23062000	175	69	63
24062000	176	66	63
25062000	177	62	56
26062000	178	62	52
27062000	179	59	47
28062000	180	63	54
29062000	181	68	63
30062000	182	68	61
1072000	183	56	51
2072000	184	60	55
3072000	185	62	52
4072000	186	62	55
5072000	187	64	58
6072000	188	67	62
7072000	189	67	61
8072000	190	69	62
9072000	191	68	60
10072000	192	66	58
11072000	193	65	58
12072000	194	62	51
13072000	195	57	56
14072000	196	61	56
15072000	197	62	56
16072000	198	60	50
17072000	199	46	50
18072000	200	48	38
19072000	201	52	38
20072000	202	47	37
21072000	203	49	42
22072000	204	55	45
23072000	205	50	41
24072000	206	51	51
25072000	207	56	51
26072000	208	64	55
27072000	209	66	61
28072000	210	60	52
29072000	211	61	54
30072000	212	51	45
31072000	213	48	38
1082000	214	57	45
2082000	215	59	53
3082000	216	60	54
4082000	217	53	44
5082000	218	54	47
6082000	219	58	50
7082000	220	51	42
8082000	221	51	40
9082000	222	57	44
10082000	223	48	37
11082000	224	45	34
12082000	225	47	38
13082000	226	61	49
14082000	227	54	48
15082000	228	49	41
16082000	229	46	35
17082000	230	51	40
18082000	231	56	46
19082000	232	51	40
20082000	233	54	42
21082000	234	56	44
22082000	235	54	45
23082000	236	53	44
24082000	237	49	40
25082000	238	46	39
26082000	239	46	34
27082000	240	43	32
28082000	241	41	32
29082000	242	38	40
30082000	243	51	46
31082000	244	54	49
1092000	245	54	46
2092000	246	50	41
3092000	247	46	45
4092000	248	67	72
5092000	249	71	71
6092000	250	57	54
7092000	251	58	56
8092000	252	73	77
9092000	253	64	69
10092000	254	55	55
11092000	255	50	46
12092000	256	49	42
13092000	257	50	41
14092000	258	53	44
15092000	259	49	43
16092000	260	45	38
17092000	261	46	38
18092000	262	52	44
19092000	263	53	47
20092000	264	51	44
21092000	265	52	45
22092000	266	45	38
23092000	267	46	37
24092000	268	43	35
25092000	269	34	27
26092000	270	41	39
27092000	271	59	52
28092000	272	59	56
29092000	273	62	56
30092000	274	54	47
1102000	275	54	44
2102000	276	53	45
3102000	277	48	39
4102000	278	40	34
5102000	279	37	36
6102000	280	40	46
7102000	281	56	60
8102000	282	58	56
9102000	283	56	51
10102000	284	55	48
11102000	285	49	41
12102000	286	45	38
13102000	287	44	36
14102000	288	43	36
15102000	289	49	40
16102000	290	53	46
17102000	291	56	50
18102000	292	53	50
19102000	293	51	46
20102000	294	48	42
21102000	295	45	39
22102000	296	48	44
23102000	297	45	44
24102000	298	47	53
25102000	299	48	49
26102000	300	48	50
27102000	301	50	46
28102000	302	44	41
29102000	303	48	61
30102000	304	77	89
31102000	305	77	88
1112000	306	71	78
2112000	307	79	88
3112000	308	69	81
4112000	309	75	86
5112000	310	92	92
6112000	311	94	95
7112000	312	93	93
8112000	313	96	96
9112000	314	95	94
10112000	315	95	94
11112000	316	94	93
12112000	317	91	92
13112000	318	92	90
14112000	319	94	94
15112000	320	95	96
16112000	321	95	97
17112000	322	90	95
18112000	323	84	88
19112000	324	80	86
20112000	325	80	88
21112000	326	78	84
22112000	327	73	81
23112000	328	73	82
24112000	329	69	75
25112000	330	74	77
26112000	331	74	82
27112000	332	76	89
28112000	333	75	87
29112000	334	72	82
30112000	335	70	82
1122000	336	72	84
2122000	337	74	86
3122000	338	75	85
4122000	339	79	84
5122000	340	87	95
6122000	341	85	94
7122000	342	86	93
8122000	343	91	95
9122000	344	87	94
10122000	345	83	91
11122000	346	93	94
12122000	347	95	94
13122000	348	96	94
14122000	349	96	97
15122000	350	96	96
16122000	351	96	95
17122000	352	96	96
18122000	353	91	92
19122000	354	88	88
20122000	355	90	90
21122000	356	91	91
22122000	357	92	92
23122000	358	89	90
24122000	359	86	91
25122000	360	91	94
26122000	361	88	92
27122000	362	88	90
28122000	363	88	90
29122000	364	86	89
30122000	365	90	92
31122000	366	90	95
1012001	1	94	94
2012001	2	90	91
3012001	3	93	94
4012001	4	95	94
5012001	5	92	92
6012001	6	91	92
7012001	7	93	94
8012001	8	92	91
9012001	9	90	92
10012001	10	94	97
11012001	11	93	93
12012001	12	89	90
13012001	13	84	88
14012001	14	85	93
15012001	15	82	88
16012001	16	79	86
17012001	17	84	91
18012001	18	83	90
19012001	19	87	92
20012001	20	92	93
21012001	21	97	98
22012001	22	96	96
23012001	23	94	95
24012001	24	96	96
25012001	25	96	95
26012001	26	94	95
27012001	27	92	94
28012001	28	94	95
29012001	29	91	91
30012001	30	86	87
31012001	31	90	93
